4,9,26,39,58,23
22,34,44,54,62,3
3,10,29,52,57,20
3,19,20,22,66,9
21,39,42,43,45,3
27,35,47,50,66,25
29,46,53,69,70,23
1,6,10,23,27,18
20,21,40,49,55,11
14,31,48,57,64,9
21,55,56,57,66,1
1,2,16,24,66,6
6,23,41,59,63,25
12,41,43,52,55,9
10,17,20,24,54,8
16,18,21,54,65,5
28,30,44,66,69,2
5,20,26,49,51,24
22,38,48,51,61,5
34,55,59,65,70,12
12,32,38,40,57,21
23,29,36,61,70,22
6,7,24,44,54,13
19,23,30,33,50,25
2,14,33,58,65,3
3,9,14,26,51,21
10,17,23,50,67,3
5,35,42,58,66,22
15,35,48,53,68,8
21,26,54,60,64,3
6,15,32,54,67,4
4,8,19,31,45,11
28,31,33,42,66,24
3,16,27,47,62,8
3,18,27,40,44,19
21,22,50,55,67,20
1,25,26,31,65,2
1,5,7,22,24,8
3,5,12,22,66,7
19,37,40,63,69,17
4,11,23,33,49,23
12,18,48,57,62,4
46,54,56,67,70,16
2,5,8,28,69,14
8,17,40,60,70,3
13,19,43,62,64,6
13,22,26,32,65,18
26,28,36,63,66,15
6,13,15,53,56,11
